source,scenario,pop_year,first_pop_total,second_pop_total,pop_total_abs_change,pop_total_pct_change,first_pop_inside_all,second_pop_inside_all,pop_inside_all_abs_change,pop_inside_all_pct_change,first_pop_inside_or_10km_all,second_pop_inside_or_10km_all,pop_inside_or_10km_all_abs_change,pop_inside_or_10km_all_pct_change,first_area_inside_all,second_area_inside_all,area_inside_all_abs_change,area_inside_all_pct_change,first_area_inside_or_10km_all,second_area_inside_or_10km_all,area_inside_or_10km_all_abs_change,area_inside_or_10km_all_pct_change,first_count_strict,second_count_strict,first_count_nonstrict,second_count_nonstrict,first_count_unknowncat,second_count_unknowncat
GHSL,Confirmed_2000,2000,267264309.1681388,268392132.0649414,1127822.8968026042,0.42198784428529096,2330592.7458266914,2211976.9693980813,-118615.77642861009,-5.089511097166636,46961478.95450146,41727418.510351464,-5234060.444149993,-11.145433578062999,702018.753612721,714752.046060944,12733.292448222986,1.8138108679711276,1569013.8922476224,1427655.2636544257,-141358.62859319663,-9.009393052007939,74,56,63,55,444,413
GHSL,Confirmed_2020,2020,410592520.54152936,412180315.12524414,1587794.5837147832,0.386708111881981,6139902.047681812,6136310.709991697,-3591.337690114975,-0.05849177498639289,108568389.30543439,97822410.44683881,-10745978.85859558,-9.897889180582778,919949.6425804663,935972.8503374532,16023.207756986842,1.7417483539687686,2002250.136943608,1815323.7971992698,-186926.3397443383,-9.33581355772448,84,62,82,73,525,482
GHSL,Unknown_Year,2020,410592520.54152936,412180315.12524414,1587794.5837147832,0.386708111881981,522743.12340887834,519599.03891491797,-3144.0844939603703,-0.6014587955662375,14310929.258298125,11870767.07507696,-2440162.183221165,-17.051039378216814,45250.42147093746,45039.21185487509,-211.2096160623696,-0.4667572349530957,220007.45211844685,184765.5621932149,-35241.88992523195,-16.018498276257727,2,2,5,3,80,75
WP,Confirmed_2000,2000,212476205.4677847,247886266.44873047,35410060.980945766,16.665424207377697,2806673.7765822816,3281138.6304622144,474464.8538799328,16.9048807110634,31633516.649709303,33295454.62129787,1661937.971588567,5.253724996787037,252180.36696600475,254731.54357841797,2551.1766124132264,1.0116475929932875,653431.5531659666,588633.4849735441,-64798.06819242251,-9.916580838263299,57,40,41,32,339,310
WP,Confirmed_2020,2020,316502720.02308416,368532253.5439453,52029533.52086115,16.438889851267746,6819528.804124142,8037033.315046415,1217504.5109222727,17.85320578433485,73109655.46791239,78529415.70366107,5419760.235748678,7.413193511939602,399158.98206048383,403996.03498794883,4837.052927465003,1.2118111190924055,922788.5353119501,838045.0464378819,-84743.48887406825,-9.183413710858533,65,45,57,47,414,378
WP,Unknown_Year,2020,316502720.0230841,368532253.5439453,52029533.52086121,16.438889851267767,795833.2161405336,920301.5645170212,124468.34837648761,15.640004193354521,8814392.806248449,8696780.43807125,-117612.36817719787,-1.3343218388658995,36421.537603044424,36225.51496499777,-196.02263804665563,-0.5382052789288896,144399.10642947658,124352.77634841204,-20046.330081064545,-13.882585963823134,2,2,4,3,55,50
GHSL,All_2020,2020,410592520.54152936,412180315.12524414,1587794.5837147832,0.386708111881981,6662645.17109069,6607499.897083525,-55145.274007165805,-0.8276783858525426,122879318.56373252,104352073.44580312,-18527245.1179294,-15.077594288838824,965200.0640514038,975202.6430216506,10002.578970246832,1.0363218303427426,2222257.589062055,1937939.2031599488,-284318.3859021063,-12.794123746118386,86,64,87,75,605,539
WP,All_2020,2020,316502720.02308416,368532253.5439453,52029533.52086115,16.438889851267746,7615362.020264676,8837790.457296476,1222428.4370318,16.052138214557445,81924048.27416083,84029960.35424624,2105912.0800854117,2.570566426402569,435580.5196635283,436930.9745421633,1350.454878635006,0.31003564614831447,1067187.6417414267,937259.810660027,-129927.8310813997,-12.17478782544602,67,47,61,49,469,413
