category,n_pa,pa_area_km2,pa_area_share_pct,pop_inside_million,pop_inside_pct,pop_buffer10_million,buffer_area_km2,pop_density_buffer10,pop_inside_or_10km_million,pop_inside_or_10km_pct,people_inside_or_10km_per_km2_pa,people_buffer10_per_km2_pa
Strict PAs (IUCN Ia-III),1160,1349677.6265821308,4.0557817859299155,10.383982397224296,0.41921504466710713,148.28922347316063,1260217.2306971848,117.66957303950144,158.67320587038492,6.405846287278688,117.5637817100092,109.87010568492735
Non-strict PAs (IUCN IV-VI),2564,1389496.997425454,4.175439010598084,18.964246508632733,0.7656116067106983,187.69482998475257,1365899.2037649693,137.41484691358622,206.65907649338533,8.343099079809265,148.729415663579,135.08113391574446
Unknown IUCN category,5446,1377794.9500851352,4.140274353848797,31.47882733129781,1.2708417157261018,334.70916182430227,2016692.416045498,165.96936605763037,366.18798915560006,14.783491377205879,265.77829243239205,242.9310412290452
All PAs,9170,4116969.5740927197,12.371495150376797,60.82705623715484,2.4556683671039075,670.6932152822153,4642808.850507652,144.45850278950869,731.5202715193702,29.53243674429383,177.68415781420478,162.90944181437627
